epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3041.99,0.08544,0.98897,1,0.03779,0.00333257,0.00333257,0.00333257
2,25834.7,0.11925,0.98704,1,0.04169,0.00600598,0.00600598,0.00600598
3,28764.6,0.19832,0.98488,0.99977,0.04689,0.00801939,0.00801939,0.00801939
4,31680.1,0.20358,0.99056,1,0.02969,0.00703,0.00703,0.00703
5,34729.9,0.11691,0.99466,1,0.01744,0.00604,0.00604,0.00604
6,37772.3,0.07308,0.99602,1,0.01268,0.00505,0.00505,0.00505
7,40718.6,0.04625,0.9975,1,0.00903,0.00406,0.00406,0.00406
8,43630.5,0.03015,0.99807,1,0.00767,0.00307,0.00307,0.00307
9,46541.5,0.02188,0.99852,1,0.00666,0.00208,0.00208,0.00208
10,49452.5,0.01554,0.99829,1,0.00701,0.00109,0.00109,0.00109
